ID;Authors;Year;N_sample;Effect_size;Temp_media;Precipitacao;Temp_sazonal;Prec_sazonal;Range;Position;Transition;Historic_land;Topography;yi;vi;Clim_mac;;-4;4
459;Maloney,_K.O.,_Feminella,_J.W.,_Mitchell,_R.M.,_Miller,_S.A.,_Mulholland,_P.J.,_Houser,_J.N.;2008;13;-0.11;17.54527529;1307.566038;702.7431848;22.12344301;NA;NA;Foragr;70;35.4222859;-0.110446916;0.1;-0.566924877;;;
459;Maloney,_K.O.,_Feminella,_J.W.,_Mitchell,_R.M.,_Miller,_S.A.,_Mulholland,_P.J.,_Houser,_J.N.;2008;13;-0.04;17.54527529;1307.566038;702.7431848;22.12344301;NA;NA;Foragr;70;35.4222859;-0.040021354;0.1;-0.566924877;;;
181;Walters,_D.M.,_Roy,_A.H.,_Leigh,_D.S.;2009;31;-0.4;15.32851875;1406.412844;747.783085;16.16210604;NA;NA;Forurb;70;42.26460884;-0.42364893;0.035714286;-0.347114462;;;
181;Walters,_D.M.,_Roy,_A.H.,_Leigh,_D.S.;2009;31;0;15.32851875;1406.412844;747.783085;16.16210604;NA;NA;Foragr;70;42.26460884;0;0.035714286;-0.347114462;;;
116;Burcher,C.L.,_Valett,_H.M.,_Benfield,_E.F.;2007;10;0.3;13.01122138;1490.738739;742.8968638;12.09593676;NA;NA;Foragr;70;50.18141675;0.309519604;0.142857143;-0.197448229;;;
130;Walsh,_C.J.;2004;16;-0.69;13.17812477;944.0540541;403.1047699;22.2164987;NA;NA;Forurb;60;101.4257988;-0.847955755;0.076923077;-0.171232322;;;
130;Walsh,_C.J.;2004;16;-0.61;13.17812477;944.0540541;403.1047699;22.2164987;NA;NA;Forurb;60;101.4257988;-0.708921359;0.076923077;-0.171232322;;;
29;Morley,_S.A.,_Karr,_J.R.;2002;34;-0.41;7.838871111;1579.961538;547.014847;56.80851;NA;NA;Forurb;0;100.6907119;-0.435611223;0.032258065;-0.16100101;;;
1622;Kim,_D.-H.,_Chon,_T.-S.,_Kwak,_G.-S.,_Lee,_S.-B.,_Park,_Y.-S.;2016;46;-0.42;12.91176998;1324.357143;867.3375;73.45792269;NA;NA;Forurb;80;159.3821546;-0.447692024;0.023255814;0.210497051;;;
1622;Kim,_D.-H.,_Chon,_T.-S.,_Kwak,_G.-S.,_Lee,_S.-B.,_Park,_Y.-S.;2016;46;0;12.91176998;1324.357143;867.3375;73.45792269;NA;NA;Foragr;80;159.3821546;0;0.023255814;0.210497051;;;
